騎手名,コース,1着,2着,3着,4着以下,単勝回収率,複勝回収率
小野寺,福島ダート1150m,0,0,0,2,0.0,0.0
小野寺,福島ダート1700m,0,0,0,1,0.0,0.0
小野寺,福島芝2750m,1,4,7,36,0.07,0.7
小野寺,福島芝2770m,3,0,1,25,1.02,0.26
小野寺,福島芝3350m,1,0,1,2,6.9,2.93
小野寺,福島芝3380m,2,1,1,5,1.31,0.98
小野寺,阪神ダート1800m,0,0,0,1,0.0,0.0
小野寺,阪神ダート2000m,0,0,0,1,0.0,0.0
小野寺,阪神芝2970m,1,4,1,16,0.15,0.66
小野寺,阪神芝3110m,0,0,0,10,0.0,0.0
小野寺,阪神芝3140m,0,0,1,2,0.0,0.47
小野寺,阪神芝3900m,0,0,0,1,0.0,0.0
幸,中京ダート1200m,10,8,0,122,0.62,0.29
幸,中京ダート1400m,10,11,0,157,0.6,0.31
幸,中京ダート1800m,15,12,0,205,0.39,0.29
幸,中京ダート1900m,10,6,0,74,0.87,0.39
幸,中京芝1200m,11,5,0,66,1.17,0.47
幸,中京芝1400m,3,4,0,73,0.5,0.43
幸,中京芝1600m,6,4,0,95,0.6,0.3
幸,中京芝2000m,6,16,0,141,0.37,0.51
幸,中京芝2200m,1,4,0,53,0.25,0.48
幸,中京芝3000m,0,0,0,3,0.0,0.0
幸,中山ダート1200m,0,0,0,11,0.0,0.0
幸,中山ダート1800m,1,0,0,5,4.08,0.98
幸,中山ダート2400m,0,0,0,1,0.0,0.0
幸,中山ダート2500m,0,0,0,1,0.0,0.0
幸,中山芝1200m,0,0,0,3,0.0,0.0
幸,中山芝1600m,0,0,0,6,0.0,0.0
幸,中山芝1800m,0,1,0,4,0.0,0.78
幸,中山芝2000m,0,0,0,8,0.0,0.0
幸,中山芝2200m,0,0,0,2,0.0,0.0
幸,中山芝2500m,0,0,0,6,0.0,0.0
幸,京都ダート1200m,7,11,0,108,0.46,0.6
幸,京都ダート1400m,4,5,0,120,0.27,0.22
幸,京都ダート1800m,18,22,0,193,0.55,0.61
幸,京都ダート1900m,5,6,0,47,0.41,0.38
幸,京都芝1200m,3,1,0,44,0.95,0.27
幸,京都芝1400m,5,1,0,59,0.95,0.29
幸,京都芝1600m,2,9,0,101,0.26,0.79
幸,京都芝1800m,3,7,0,61,0.7,1.12
幸,京都芝2000m,4,8,0,58,2.96,0.92
幸,京都芝2200m,0,0,0,22,0.0,0.0
幸,京都芝2400m,1,2,0,27,0.07,0.2
幸,京都芝3000m,0,0,0,3,0.0,0.0
幸,京都芝3200m,0,0,0,5,0.0,0.0
幸,函館ダート1000m,0,0,0,1,0.0,0.0
幸,函館ダート1700m,0,0,0,1,0.0,0.0
幸,函館芝1200m,0,0,0,1,0.0,0.0
幸,函館芝1800m,0,0,0,2,0.0,0.0
幸,小倉ダート1000m,4,10,0,72,0.54,0.56
幸,小倉ダート1700m,17,10,0,177,0.54,0.31
幸,小倉ダート2400m,1,0,0,3,0.42,0.28
幸,小倉芝1200m,18,14,0,214,1.07,0.44
幸,小倉芝1800m,4,10,0,107,1.35,0.45
幸,小倉芝2000m,8,8,0,103,0.45,0.34
幸,小倉芝2600m,3,1,0,24,0.52,0.26
幸,新潟ダート1200m,2,2,0,27,1.39,0.55
幸,新潟ダート1800m,3,4,0,33,0.38,0.4
幸,新潟芝1000m,0,0,0,4,0.0,0.0
幸,新潟芝1200m,1,1,0,6,0.66,0.42
幸,新潟芝1400m,0,1,0,12,0.0,0.12
幸,新潟芝1600m,3,2,0,25,0.86,0.39
幸,新潟芝1800m,0,1,0,17,0.0,0.31
幸,新潟芝2000m,0,1,0,9,0.0,0.19
幸,新潟芝2200m,0,1,0,5,0.0,0.5
幸,新潟芝2400m,0,0,0,1,0.0,0.0
幸,東京ダート1300m,0,1,0,4,0.0,0.28
幸,東京ダート1400m,0,1,0,10,0.0,0.34
幸,東京ダート1600m,0,1,0,20,0.0,0.1
幸,東京ダート2100m,0,0,0,9,0.0,0.0
幸,東京芝1400m,0,0,0,12,0.0,0.0
幸,東京芝1600m,0,0,0,14,0.0,0.0
幸,東京芝1800m,1,0,0,9,1.32,0.35
幸,東京芝2000m,1,0,0,5,1.68,0.48
幸,東京芝2300m,0,0,0,1,0.0,0.0
幸,東京芝2400m,0,0,0,2,0.0,0.0
幸,福島ダート1150m,0,1,0,1,0.0,1.55
幸,福島ダート1700m,0,1,0,5,0.0,1.37
幸,福島芝1200m,2,0,0,4,1.2,0.6
